,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
160,"BRADY WORLDWIDE INC
3.6",Data Scientist,"Milwaukee, WI","Who Are We:
Brady Corporation is an international manufacturer and marketer of complete solutions that identify and protect people, products and places. Brady's products help customers increase safety, security, productivity and performance and include high-performance labels, signs, safety devices, printing systems and software. Founded in 1914, the Company has a diverse customer base in electronics, telecommunications, manufacturing, electrical, construction, medical, aerospace and a variety of other industries. Brady is headquartered in Milwaukee, Wisconsin and as of July 31, 2022, employed approximately 5,700 people in its worldwide businesses. Brady's fiscal 2022 sales were approximately $1.30 billion. Brady stock trades on the New York Stock Exchange under the symbol BRC. More information is available on the Internet at www.bradyid.com.

Brady offers a hybrid work option that allows for both personal flexibility and in person collaboration to deliver the greatest outcomes for our people and customers. This option is a mix of in the office and one offsite day which is pre-determined based on role and function.

Director of Business Intelligence

A key member of the Business Intelligence team, this person will design and tune the AI/stat models to meet the business needs.

Show More
Report",#N/A,5001 to 10000 Employees,Company - Public,Manufacturing,Machinery Manufacturing,1914,$2 to $5 billion (USD)
161,"The Travelers Companies, Inc.
4.0",Data Engineer I,"Saint Paul, MN","Who Are We?
Taking care of our customers, our communities and each other. That’s the Travelers Promise. By honoring this commitment, we have maintained our reputation as one of the best property casualty insurers in the industry for over 160 years. Join us to discover a culture that is rooted in innovation and thrives on collaboration. Imagine loving what you do and where you do it.
Job Category
Technology
Compensation Overview
The annual base salary range provided for this position is a nationwide market range and represents a broad range of salaries for this role across the country. The actual salary for this position will be determined by a number of factors, including the scope, complexity and location of the role; the skills, education, training, credentials and experience of the candidate; and other conditions of employment. As part of our comprehensive compensation and benefits program, employees are also eligible for performance-based cash incentive awards.
Salary Range
$102,600.00 - $169,200.00
1
Travelers Data Engineering team constructs pipelines that contextualize and provide easy access to data by the entire enterprise. As a Data Engineer, you will play a key role in growing and transforming our analytics landscape. In addition to your strong analytical mind, you will bring your inquisitive attitude and ability to translate the stories found in data. You will leverage your ability to design, build and deploy data solutions that capture, explore, transform, and utilize data to support Artificial Intelligence, Machine Learning and business intelligence/insights.


Show More
Report",#N/A,10000+ Employees,Company - Public,Insurance,Insurance Carriers,1853,$10+ billion (USD)
162,"Microsoft
4.3","Senior Data Scientist- Insights, Data Engineering, and Analytics (IDEAs)","Redmond, WA","Are you motivated by using data, analytics, and technology to drive key business insights for Microsoft and its competitors? Are you looking for a role where you can have significant impact in contributing to the growth of some of Microsoft’s most critical businesses and keep a pulse on the competitive landscape? If so, the Insights, Data Engineering, and Analytics (IDEAs) in the Experiences + Devices (E+D) organization has a great opportunity.

As a Senior Data Scientist- Insights, Data Engineering, and Analytics (IDEAs) on the Compete and Market Data Science team, you will focus on reporting and analyzing Microsoft share vs. key competitors for the Microsoft 365 Productivity and Collaboration apps and services along with Windows device business. Our team supplies important competitive data and analysis that is utilized broadly and by the most senior leaders in the company.











Show More
Report",#N/A,10000+ Employees,Company - Public,Information Technology,Computer Hardware Development,1975,$10+ billion (USD)
163,"Warren CAT
4.2",Data Scientist,"Abilene, TX","TEAM UP WITH US!
***Candidates must reside in the Warren CAT territory. Reference:
https://www.warrencat.com/locations/
The Data Scientist is responsible for analyzing data and conducting important research to drive business decisions based on strategic goals for the organization. The Data Scientist acts as a trusted data visualization advisor to the stakeholder/end-user in order to drive business value. Work is somewhat complex in nature and performed under general supervision, requiring independent judgment.

DO YOU HAVE WHAT IT TAKES?













Show More
Report",#N/A,1001 to 5000 Employees,Company - Private,Retail & Wholesale,Motor Vehicle Dealers,1971,$100 to $500 million (USD)
164,"Zillow
3.9",Principal Data Scientist,Remote,"About the team
The Strategic Analytics & Operations team is responsible for a metrics driven assessment of whether we are on track for our strategy and data driven insights to evaluate new strategic opportunities. The team covers three key functions: (1) Business Intelligence, (2) Metrics Operations, and (3) Strategic Insights. We collaborate with our most senior leaders to determine what we should be doing as a company, ensure we are successfully accomplishing what we said we would do and executing course corrections.
About the role
As a Principal Data Scientist, you will help to ensure we are measuring and evaluating our strategy and execution. You will also derive data driven insights to support the highest levels of strategy questions at Zillow. You will be partnering with our Strategy & Partnerships, Business Operations, Strategic Finance and M&A, and Investor Relations teams to understand business questions and creatively solve complex business problems with analytic solutions. You will be navigating large and messy datasets, selecting and applying the appropriate methodologies (model building, A/B testing, forecasting, opportunity sizing), designing experimentation frameworks, and collaborating with Data Science, Econ, and Insights teams to complete the analysis. You will proactively and strategically use data to identify “big picture” opportunities for the company, and share your insights to influence product and business leaders across the company.
This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice which must be identified to the Company. Employees may live in any of the 50 US States, with limited exceptions. In certain cases, an employee in a remote-designated job may need to live in a specific region or time zone to support customers or clients as part of their role.
In California, Colorado, Connecticut, Nevada, New York City and Washington the standard base pay range for this role is $165,600.00 - $264,500.00 Annually. This base pay range is specific to California, Colorado, Connecticut, Nevada, New York City and Washington and may not be applicable to other locations.
In addition to a competitive base salary this position is also eligible for equity awards based on factors such as experience, performance and location. Actual amounts will vary depending on experience, performance and location.
Show More
Report",#N/A,5001 to 10000 Employees,Company - Public,Real Estate,Real Estate,2005,$100 to $500 million (USD)
165,"Virtue Analytics
4.5",Data Analyst/Scientist,"Woodbury, MN","About the position
Designing, conducting, testing, and managing market research studies for Virtue Analytics' existing and proposed products and services
Analysing and assessing present and future needs, trends, challenges, and opportunities related to higher education in the US
Capturing data from information systems to support the development of research plans
Working collaboratively across the system to obtain the data necessary for marketplace analysis and reporting
Informal dress code
Skill(s) required

Show More
Report",#N/A,1 to 50 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,2013,Unknown / Non-Applicable
166,"Brighton Jones
4.1",Data Scientist,"Seattle, WA","Are you hungry for more than just a career move? Wondering if it's possible for work-life to be an extension of your own personal and professional passion? Brighton Jones' unique and inclusive culture enables you to discover your potential and pursue your definition of a richer life.

Brighton Jones, one of the country's fastest growing wealth management firms, is seeking a Data Scientist responsible for leading and conducting key analyses on company data, generating insights, and developing solutions to drive business decisions, growth, and opportunities.

Brighton Jones is a team that helps our clients, colleagues, and the global community live richer lives. That's our mission, and why we do everything we do. We are a team that collaborates together to achieve our goals, as we support our clients in reaching theirs. Successful candidates for this role and all roles at Brighton Jones will bring a ""how can I help?"" attitude and a willingness to do whatever it takes to help our clients and colleagues succeed. We are looking for someone who wants to contribute to and celebrate the success of others and be part of an organization that is a leader in the industry.


Show More
Report",#N/A,201 to 500 Employees,Company - Private,Finance,Investment & Asset Management,1999,$25 to $50 million (USD)
167,"Moody's
3.8",Data Scientist,"Chicago, IL","We are looking for a Data Scientist to join our Banking OU Data Science team and help us shape the future of the financial industry. In this role, you will use your skills in traditional statistical modeling, business intelligence, machine learning, and artificial intelligence to work on cutting-edge projects that will have a significant impact on our business. You will be responsible for developing and implementing data-driven solutions to complex business problems, and you will play a vital role in the evolution of our Lending, Risk & Finance Solutions, and the development of our Banking Platform.
Key Projects include:
REMOTE BUT MUST RESIDE IN THE UNITED STATES
Smart Work Queue (SWQ) model combining different type of risk signals for CreditLens Monitor.
Develop feedback loops to continuously develop and train SWQ models based on user feedback.
Research on emerging AI, machine learning, deep learning solutions applied to structured and unstructured data and be conversant with the latest developments in these fields.












Show More
Report",#N/A,10000+ Employees,Company - Public,Management & Consulting,Research & Development,1900,$2 to $5 billion (USD)
168,"Caterpillar
4.0",Data Scientist - Product Analytics,"Chillicothe, IL","Career Area:
Information Analytics
Job Description:
Your Impact Shapes the World at Caterpillar Inc.
When you join Caterpillar, you are joining a global team who cares not just about the work we do – but also about each other. We are the makers, problem solvers and future world builders who are creating stronger, more sustainable communities. We don’t just talk about progress and innovation here – we make it happen, with our customers, where we work and live. Together, we are building a better world, so we can all enjoy living in it.
It’s More Than a Job, it’s a Career - YouTube
Show More
Report",#N/A,10000+ Employees,Company - Public,Manufacturing,Machinery Manufacturing,1925,$10+ billion (USD)
169,"Faegre Drinker
3.6",Tritura Data Scientist,"New York, NY","Faegre Drinker is a firm designed for clients and designed for you. We understand that our people are critical to our success and we are committed to investing in our paraprofessional, administrative and operations professionals. We are always looking for talented, service-focused individuals to join our flexible and high-performing culture. With technology tools and resources that support our hybrid work environment, our colleagues enjoy a culture of learning, support for work and personal goals, opportunities to give back to our communities, and competitive benefits and rewards programs. At Faegre Drinker, you will have the opportunity to share your expertise within and across teams and contribute to our success.
Job Description Summary:
Faegre Drinker has an opportunity for a Tritura Data Scientist to work with our Tritura team in our New York office. You will be part of a dynamic team dedicated to performing an array of data science functions from initial scoping to the collection and analysis phases all the way to interpretation of results. This position will work with a wide variety of individuals, experts in various areas of law, technology and business, we bring a diverse set of perspectives to bear on our engagements in order to get to the best outcome for clients.
Job Description:
Show More
Report",#N/A,1001 to 5000 Employees,Private Practice / Firm,Legal,Legal,2020,$100 to $500 million (USD)
170,"Caterpillar
4.0",Associate Data Scientist - Inventory Management and Research Analytics,"Morton, IL","Career Area:
Information Analytics
Job Description:
At Caterpillar, we're working to help our customers build a better world. We wouldn’t be the Caterpillar we are today without the exceptionally talented, bright and driven people who get the job done. This is your chance to help us make progress possible around the world – for our customers, for growing communities and for every member of our team. We are looking for a dynamic, organized self-starter to join our Product Support and Logistics Division as an Associate Data Scientist – Inventory Management Research and Analytics.
The Product Support and Logistics Division (PSLD) is one of the most innovative divisions within Caterpillar. In PSLD, as within all of Caterpillar, our priority is our customers and helping them build a better world. We touch nearly every element of the services value stream from procurement to design and manufacturing to distribution. PSLD is responsible for Aftermarket Parts Distribution of Cat Parts, Integrated Logistics, segment Procurement and the design and manufacture of Wear Components (Undercarriage and GET) and Maintenance Components (Seals, Tubes & Hardware, Hose & Couplings, Fluids and Filters).
Show More
Report",#N/A,10000+ Employees,Company - Public,Manufacturing,Machinery Manufacturing,1925,$10+ billion (USD)
171,"Kiewit Corporation
3.8",Data Scientist,"Omaha, NE","Requisition ID: 168587
Job Level: Mid Level
Home District/Group: DHO Kiewit Data Services
Department: Data Services
Market: Corporate Home Office
Employment Type: Full Time
POSITION OVERVIEW
t Kiewit, we operate in seven different markets, with many dynamics that impact business decisions. We thrive on being the best at what we do, and to continue our success, we must navigate the future with confidence, embracing decision-making with clear, concise, data-driven analysis, tools & solutions that deliver value to each of our business areas. Our Data Science team helps our executives and leaders advance their businesses through effective analysis, machine learning, and AI tools to support our Engineering and Construction projects.








Show More
Report",#N/A,10000+ Employees,Company - Private,"Construction, Repair & Maintenance Services",Construction,1884,$10+ billion (USD)
172,"Altamira
4.1","Data Scientist, Jr.","Camp Lejeune, NC","Data Scientist
Altamira delivers a variety of analytic and engineering capabilities to the US National Security community, but the tech culture and the caliber of the individuals that bring these capabilities to fruition are what really set us apart. Our Dayton, OH office is highly focused on the Space-based mission set with a heavy emphasis on sensor exploitation and analysis; Tampa, FL focuses on ‘art-of-the-possible’ analytics of all kinds with an emphasis on graph technologies, NLP, and wrangling complex data sets; and all forces converge at our headquarters in the Northern Virginia/Washington DC area where we host our tech events and support engineering and analytic missions across several IC and DOD agencies.
While our work occurs in different states and different mission domains, we’ve got analytics at the heart of every operation and genuine curiosity for new methods, techniques, and solutions. Our specialties are data science and analytics, data engineering, software engineering, and end-to-end analytic solutions architecture. We’ve also got some awesome benefits like the Altamira Healthy Living program, with ongoing competitions and a flexible spending stipend for health and wellness-related items.

Show More
Report",#N/A,201 to 500 Employees,Company - Private,Information Technology,Information Technology Support Services,2001,$25 to $50 million (USD)
173,"PACCAR
3.6",Data Scientist,"Renton, WA","Requisition Summary
As a Data Scientist you’ll support the growth of PACCAR Parts by using industry-leading tools such as AWS, Snowflake, and Python to build and deploy machine learning models and workflows. Additionally, you’ll support others by being a technical lead in Data Science and Data Analysis concepts to aspiring Data Scientists currently in other Data Analytics roles.
This position is a part of the Advanced Analytics team, a collaborative group who create Analytics solutions across PACCAR Parts. As a member of this team you’ll work on highly visible and impactful projects that support the strategic initiatives set by PACCAR Parts Leadership. Each team member will get the opportunity to present their work to Senior Executives, helping shape PPD’s current business and the long-term Analytics strategy.
Job Functions / Responsibilities









Show More
Report",#N/A,10000+ Employees,Company - Public,Manufacturing,Transportation Equipment Manufacturing,1905,$10+ billion (USD)
174,CloudXsparks Technologies,Data Scientist,"Lebanon, OH","Are you seeking a contract or permanent assignment with CloudXsparks Technologies, Inc.? You have the opportunity to extend your career pathway. Our recruiting teams are holding techno-functional experience in the Information technology industry and they are well-versed in interviewing candidates with respect to their interpersonal skills. They are here to assist you more than ever. We are always looking for and interested to hear from talented individuals who can make a difference and complement our existing teams of professionals. Please email your resume to our team of recruiters. Our careers email: hr@cloudxsparks.com
Data Scientist
Skillset We Looking for : • Knowledge of statistical programming languages like R, Python, and database query languages like SQL, Hive, Pig. • Good statistical skills, including knowledge of statistical tests, distributions, regression, maximum likelihood estimators, etc. • Good knowledge of machine learning methods like k-Nearest Neighbors, Naive Bayes, SVM, Decision Forests. • understanding the fundamentals of Multivariable Calculus and Linear Algebra is important as they form the basis of a lot of predictive performance or algorithm optimization techniques. • Proficiency in handling imperfections in data is an important aspect of a data scientist job description. • Experience with Data Visualization Tools like Tableau etc.
Show More
Report",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
175,"Strider Technologies
5.0",Senior Data Scientist,"South Jordan, UT","Strider is revolutionizing the way companies, universities, research institutions, and government agencies protect their innovation and compete in a new era of global strategic competition. Our trailblazing technology and intelligence solutions enable clients to proactively identify, manage, and respond to nation-state directed IP theft and supply chain vulnerabilities.
If you're ready to be part of an elite team tackling some of the most pressing security and technology challenges, let's talk.
As a Senior Data Scientist on Strider's Engineering team, your job is to research and develop new data solutions, scale existing data applications, and bend Strider's data strategies to accomplish many goals within a growing startup. We're looking for someone with expertise in statistical modeling who is deeply curious and demonstrates a proven ability to build data solutions from scratch.
You will:
Show More
Report",#N/A,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
176,"PrizePicks
4.8",Data Scientist,"Atlanta, GA","At PrizePicks, we are the fastest growing sports company in North America, as recognized by Inc. 5000. As the leading platform for Daily Fantasy Sports, we cover a diverse range of sports leagues, including the NFL, NBA, and Esports titles like League of Legends and CS : GO. Our team of over 200 employees thrives in an inclusive culture that values individuals from diverse backgrounds, regardless of their level of sports fandom. Ready to reimagine the DFS industry together?
The Analytics Team is responsible for building and maintaining analytics tools and workflows to support the PrizePicks business across all departments - at the core of these operations is data and the insights driven from that data. PrizePicks is looking for a Data Scientist with 2+ years of experience to join our Data Science team. You will be working closely with other data scientists, reporting analysts, and cross departmental directors to test business flows, make business recommendations, and provide novel business insights to leadership focused on driving revenue growth, optimizing marketing efficiency and optimizing retention efforts.
What you'll do:
Show More
Report",#N/A,1 to 50 Employees,Company - Private,"Arts, Entertainment & Recreation",Sports & Recreation,2015,Unknown / Non-Applicable
177,"Nuvative, Inc.
4.0",Senior Data Scientist (On-Site),"Wichita, KS","DEPARTMENT: Analytics
JOB TITLE: Senior Data Scientist
REPORTS TO: Director of Analytics
WHO WE ARE: Nuvative is a parent company that is helping businesses meet their goals through innovative technology and impactful employees. To recruit and retain top-notch talent, we consciously work to make and keep Nuvative an employer of choice. We provide our employees with a culture of kindness, fairness, learning and development, contribution, collaboration, diversity, innovative and fun.
JOB PURPOSE: The Senior Data Scientist will provide accurate and timely data support, analysis and maintenance using statistical math and algorithms on a variety of reports, charts, models and projects that have a direct impact on all aspects of Nuvative. The Senior Data Scientist works closely with the other Data Scientist regarding efficiency, analysis, quality goals, and market and product trends while supporting cross-functional teams on the day-to-day delivery of projects and initiatives.


Show More
Report",#N/A,1 to 50 Employees,Company - Private,Finance,Banking & Lending,2007,$5 to $25 million (USD)
178,"The Hartford
3.9",Sr. Data Scientist (REMOTE),"Charlotte, NC","You are a driven and motivated problem solver ready to pursue meaningful work. You strive to make an impact every day & not only at work, but in your personal life and community too. If that sounds like you, then you've landed in the right place.
The Commercial Lines Data Science and Analytics team at The Hartford is moving to the cloud! This migration allows us to modernize and consolidate our Data and Analytics infrastructure and automate workloads so we can continue to provide innovative solutions to our customers’ business problems.
The Hartford's Commercial Lines Data Science & Analytics organization is seeking a Sr. Data Scientist who has experience working both on-prem and in the cloud and, especially as it pertains to migrating from a legacy, on-premises environment to the AWS Cloud. The role will help to support the Testing and Remediation Team and help ensure the safety and continuity of Commercial Lines Data Science assets through the migration period.
The Senior Data Scientist will partner closely with Cloud and Data Engineers across both the Commercial Lines Data Science teams and other enterprise and cross-functional IT teams, to test applications and data stores pre- and post-migration to ensure any potential impacts to Data Science solutions are identified and mitigated. Additionally, once the impacts of migrations are known the Data Scientist will help remediate impacted assets ensuring the remediation does not negatively affect performance. The Data Scientist will also work across the full breadth of CLDS&A reinforcing the technical capabilities of the iSolutions team and acting as a trusted advisor to others charged with developing and deploying innovative solutions for our business customers.
$104,320 - $156,480
Sr Data Scientist - GD07AE
Show More
Report",#N/A,10000+ Employees,Company - Public,Insurance,Insurance Carriers,1810,$10+ billion (USD)
179,"Colorado School of Mines
4.4",Data Scientist,"Golden, CO","Job no: 496384
Work type: Administrative Faculty Full Time
Location: Golden, CO
Categories: Information Technology, Other, Program Management, Project Management
Position Title

Data Scientist

The Opportunity

The Data Scientist uses statistical techniques and database analysis tools to optimize business results and develop strategic insights. They work within the Institutional Research and Strategic Analytics team in the Information and Technology Solutions (ITS) department at Mines to teach data users and consumers how to work effectively with data. The position involves building a robust data culture, developing business intelligence reports, and supporting data governance and management. The Data Scientist also helps with external reporting obligations that adhere to state and federal policies.



























Show More
Report",#N/A,501 to 1000 Employees,College / University,Education,Colleges & Universities,1874,$100 to $500 million (USD)
180,"BTAS
3.7",Junior Data Scientist,"Hampton, VA","[]

BTAS Job Posting

Job Title:
Clearance Requirement:
Junior Data Scientist

TS/SCI

Work Location:
Position Type / Standard Work Hours:
Langley Air Force Base, Hampton, VA

Full-time/40 hours per week/On-Site


Junior Data Scientist will support the Air Combat Command Cyber Defense Correlation Cell’s mission assurance objectives by providing relevant cyber incident and threat information to operational commanders and other cyber mission assurance entities. This is accomplished by providing analysis and correlation of incident and threat data for mission assurance stakeholders, facilitating incident response coordination for aligned Mission Defense Teams (MDTs), and supporting awareness of the cyber threat environment across the Defensive Cyber Operations (DCO) enterprise.



This position does not have supervisory responsibilities




An active TS/SCI clearance or higher is required.


BTAS is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.

BTAS is an E-Verify program participant.


Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice.

[]
Show More
Report",#N/A,201 to 500 Employees,Company - Private,Aerospace & Defence,Aerospace & Defence,1995,$5 to $25 million (USD)
181,"American Modern Insurance Group
4.1",Associate Data Scientist,"Amelia Court House, VA","Associate Data Scientist
Company
American Modern Insurance Group
Location
Amelia Court House , United States
Purpose:
Uses data and statistical analysis to drive business decisions and target improved results across various functional areas.

Roles & Responsibilities:


Show More
Report",#N/A,Unknown,Company - Private,Insurance,Insurance Carriers,1994,$25 to $50 million (USD)
182,"Numerade
3.8",Data Scientist,"Los Angeles, CA","Numerade is an education technology company on a mission to close education opportunity gaps.
This is your opportunity to join a profitable, cash flow positive, venture-backed startup early and build something remarkable at the intersection of education and technology.
Since our launch in 2019, our video-based virtual learning platform has helped over 100 million students gain confidence in STEM subjects, from algebra to quantum mechanics and beyond.
We've built the world's largest STEM video library, creating the AI tutor category.
We have 60,000 passionate educators creating video content and sharing their knowledge with students around the world.
At Numerade, we are committed to building a virtual learning platform for everyone: For students who want to understand. For educators who love to teach. And for parents who care. Our purpose goes beyond helping students get good grades – we want to support true understanding and help students and educators alike find meaning in education. Both internally and externally, we work to foster a supportive community that encourages honest answers over easy solutions, and we are motivated by the feeling of accomplishment rather than the fear of failure. If you share our commitment to learning, our belief in continuous progress, and our restless curiosity, we want to hear from you.
Show More
Report",#N/A,1 to 50 Employees,Company - Private,Education,Education Support & Training Services,2019,Unknown / Non-Applicable
183,MMStartup,Data Scientist,"Ashburn, VA","**************************************************************************************************************************
MMStartup is a pre-startup domain dedicated to Market Research and other R&D activities.
Currently, we are conducting integration testing from external websites such as Indeed, Glassdoor, and others. We'd like to ask potential candidates to disregard this job posting, and we apologize for any inconvenience caused during the job analysis process. **************************************************************************************************************************

Job Responsibilities:
We are looking for a Data Scientist with an entrepreneur’s mindset to support a fast-paced and growing data science team working on projects critical to National Security. The position is located within a classified space in the Northern Virginia area, and requires an active TS/SCI with Polygraph security clearance.







Show More
Report",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
184,"Machinify
3.7",Data Scientist [ML],California,"Machinify is a revolutionary healthcare software company with a mission to ensure that patients get the right medical treatment, at the right time, at the right price. Our cloud-based Machinify AI platform leverages the latest advances in machine learning, large language models, data analytics, and cloud processing to solve previously intractable problems, transforming healthcare administration and payment operations.
Our team has deployed models that check for anomalies in medical claims, predict the trajectory of care of a particular patient and the next likely treatment and even “read and understand” medical record documents using state-of-the-art NLP and computer vision techniques to assist clinicians. There are many more such problems to be solved. So if you are looking for a place where you can apply your expertise in AI/ML to solve real problems and make a difference in an industry that impacts millions of lives while accelerating your career, you’ll love Machinify. We are seeking a Sr Machine Learning Scientist to join our team.
What you’ll do:
Show More
Report",#N/A,51 to 200 Employees,Company - Private,Information Technology,Software Development,2016,Unknown / Non-Applicable
185,"BRADY WORLDWIDE INC
3.6",Data Scientist,"Milwaukee, WI","Who Are We:
Brady Corporation is an international manufacturer and marketer of complete solutions that identify and protect people, products and places. Brady's products help customers increase safety, security, productivity and performance and include high-performance labels, signs, safety devices, printing systems and software. Founded in 1914, the Company has a diverse customer base in electronics, telecommunications, manufacturing, electrical, construction, medical, aerospace and a variety of other industries. Brady is headquartered in Milwaukee, Wisconsin and as of July 31, 2022, employed approximately 5,700 people in its worldwide businesses. Brady's fiscal 2022 sales were approximately $1.30 billion. Brady stock trades on the New York Stock Exchange under the symbol BRC. More information is available on the Internet at www.bradyid.com.

Brady offers a hybrid work option that allows for both personal flexibility and in person collaboration to deliver the greatest outcomes for our people and customers. This option is a mix of in the office and one offsite day which is pre-determined based on role and function.

Director of Business Intelligence

A key member of the Business Intelligence team, this person will design and tune the AI/stat models to meet the business needs.

Show More
Report",#N/A,5001 to 10000 Employees,Company - Public,Manufacturing,Machinery Manufacturing,1914,$2 to $5 billion (USD)
186,"ERPMark Inc
4.0",Chief Data Scientist,"Richmond, VA","Role: Chief Data Scientist
Location: Virginia (Hybrid Model)
Job Type: Contract to Hire / Full Time.
A Chief Data Scientist focusing on this project should have (or represent a team with) extensive experience working with various NLP techniques and algorithms, such as text pre-processing/model development, model evaluation, model explainability, and model deployment.
Text preprocessing and model development: Proficiency in techniques for cleaning, preprocessing, and transforming unstructured text data into structured formats suitable for machine learning algorithms is essential. This includes text normalization, stemming, lemmatization, vectorization methods such as TF-IDF/sentence embeddings (i.e., sentence-transformers), fine-tuning of pre-trained language models (i.e., BERT), and sentiment analysis.
Show More
Report",#N/A,1 to 50 Employees,Company - Private,Management & Consulting,Business Consulting,#N/A,Less than $1 million (USD)
187,"Blue Cross & Blue Shield of Rhode Island
3.6",Data Scientist,"Providence, RI","Please email hr_business_partners@bcbsri.org if you are a candidate seeking a reasonable accommodation for the application and/or interview process.

Salary Range: $88,100 - $132,100
Type of position: Hybrid or Remote

Jump into the new world of health insurance:
At Blue Cross & Blue Shield of Rhode Island (BCBSRI), our business is healthcare. But our focus is on improving lives. Be part of a team that’s large enough to make a difference but small enough to be innovative. Work in a rapidly changing field. Take a chance to be creative. Move outside the status quo. Shape new ideas with the power of a national brand behind you.

Join others who know diversity is strength:
We appreciate and celebrate everything that makes us unique: age, national origin, citizenship status, perspectives, experiences, physical or mental disability, military status, race, ethnicity, religion, gender, sexual orientation, gender identity and/or expression. Our diversity strengthens us as an organization and helps us better serve an increasingly diverse Rhode Island population.


Research, manipulate, and interpret complex data and analyze results using machine learning, advanced statistics, trend analysis, and other artificial intelligence techniques to draw business inferences and clearly articulate findings with the target audience. Design and implement data collection systems and other methods ensuring data integrity and statistical accuracy. Collect and analyze data from multiple internal and external sources. Extract and identify relevant information from databases and systems. Mine and interpret results providing consultative feedback to various areas in order to improve service delivery and enhance program design efforts.




BCBSRI is headquartered in downtown Providence, conveniently located near the train station and bus terminal. We actively support associate well-being and work/life balance and offer the following schedules, based on role:
o. Arizona, Connecticut, Florida, Georgia, Louisiana, Maine, Massachusetts, Nevada, New Hampshire, North Carolina, Pennsylvania, Rhode Island, South Carolina, Texas, Virginia


Blue Cross & Blue Shield of Rhode Island has a COVID-19 vaccination requirement for all associates. Offers of employment are contingent on being fully vaccinated for COVID-19 or through an approved accommodation request for either a medical or religious exemption. Requests for accommodations can be made to a representative in the human resources department upon receiving an offer.

At Blue Cross & Blue Shield of Rhode Island (BCBSRI), diversity and inclusion are central to our core values and strengthen our ability to meet the challenges of today's healthcare industry. BCBSRI is an equal opportunity, affirmative action employer. We provide equal opportunities without regard to race, color, religion, gender, age, national origin, disability, veteran status, sexual orientation, genetic information and gender identity or expression.
The law requires an employer to post notices describing the Federal laws prohibiting job discrimination based on race, color, sex, national origin, religion, age, equal pay, disability, veteran status, sexual orientation, and genetic information and gender identity or expression. Please visit https://www.eeoc.gov/employers/eeo-law-poster to view the ""EEO is the Law"" poster.
Show More
Report",#N/A,501 to 1000 Employees,Non-profit Organisation,Insurance,Insurance Carriers,1939,Unknown / Non-Applicable
188,"Hendall Inc
3.3",Data Scientist,"Rockville, MD","OVERVIEW
Hendall is currently seeking a Data Scientist, with experience in applying Natural Language Processing (NLP) / Machine Learning (ML) / Artificial Intelligence (AI) for processing and analyzing behavioral health or healthcare data, to join a project team supporting SAMHSA's Behavioral Health Services Information System (BHSIS).
In December 2016, the 21st Century Cures Act (Cures Act) was signed into law and codified CBHSQ. CBHSQ conducts national surveys tracking population-level behavioral health issues. CBHSQ also provides statistical and analytical expertise; both activities support the Assistant Secretary for Mental Health and Substance Use and the Secretary of HHS. CBHSQ maintains several data collection systems and surveys on key topics in U.S. behavioral health. This position will support the Behavioral Health Services Information System (BHSIS), which collects information on the U.S. behavioral health treatment system and connects people with substance use and mental health treatment through the Behavioral Health Treatment Services Locator. The Data Scientist will be collaborative and demonstrate focus and attention to detail. He / she receives, analyzes, and processes BHSIS substance abuse treatment services and mental health treatment services data. Specifically:
Show More
Report",#N/A,51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,#N/A,$25 to $50 million (USD)
189,"Warren CAT
4.2",Data Scientist,"Abilene, TX","TEAM UP WITH US!
***Candidates must reside in the Warren CAT territory. Reference:
https://www.warrencat.com/locations/
The Data Scientist is responsible for analyzing data and conducting important research to drive business decisions based on strategic goals for the organization. The Data Scientist acts as a trusted data visualization advisor to the stakeholder/end-user in order to drive business value. Work is somewhat complex in nature and performed under general supervision, requiring independent judgment.

DO YOU HAVE WHAT IT TAKES?













Show More
Report",#N/A,1001 to 5000 Employees,Company - Private,Retail & Wholesale,Motor Vehicle Dealers,1971,$100 to $500 million (USD)
190,"Infinity Quest
3.9",Data Scientist,"Columbus, OH","8+ years of experience in working with large-scale, complex datasets to create/optimize Statistical, machine learning, deep learning, and/or optimization models.
Good hands-on experience with data querying languages (e.g. SQL and Hive), scripting languages (e.g. Python, R)
Must have relevant working experience in an analytical role involving data extraction and analysis.
Must have of relevant working experience in visualization tools (e.g. Microsoft Power BI).
Directly interact with customers to understand and help solve their business problems using the HCL solutions.
Make research and development contributions to our core service offerings
Interact and collaborate with engineers and product managers, relaying feedback from customers to continually develop our service quality
Show More
Report",#N/A,201 to 500 Employees,Company - Private,Information Technology,Information Technology Support Services,2006,Unknown / Non-Applicable
